                                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ColorCat_Brown_Buff                 ,    0.0480,    0.286,    0.168, 0.867,   -0.512,    0.608
ColorCat_Brown_Chocolate            ,    0.0394,    0.286,    0.138, 0.890,   -0.521,    0.600
ColorCat_Brown_Cream                ,    0.1454,    0.202,    0.718, 0.473,   -0.251,    0.542
ColorCat_Brown_Gray                 ,    0.1428,    0.143,    0.995, 0.320,   -0.138,    0.424
ColorCat_Brown_Red                  ,    0.1876,    0.165,    1.134, 0.257,   -0.137,    0.512
ColorCat_Brown_Red_Tick             ,    0.1128,    0.286,    0.395, 0.693,   -0.448,    0.673
ColorCat_Brown_Silver               ,   -0.5019,    0.404,   -1.242, 0.214,   -1.294,    0.290
ColorCat_Brown_Tan                  ,    0.1138,    0.058,    1.957, 0.050,   -0.000,    0.228
ColorCat_Brown_Tricolor             ,    0.0804,    0.117,    0.685, 0.493,   -0.150,    0.311
ColorCat_Brown_White                ,    0.0153,    0.017,    0.885, 0.376,   -0.019,    0.049
ColorCat_Buff                       ,    0.0314,    0.032,    0.991, 0.322,   -0.031,    0.094
ColorCat_Buff_Black                 ,    0.0172,    0.143,    0.120, 0.905,   -0.264,    0.298
ColorCat_Buff_Brown                 ,    0.2446,    0.404,    0.605, 0.545,   -0.547,    1.037
ColorCat_Buff_Gray                  ,   -0.3315,    0.286,   -1.159, 0.246,   -0.892,    0.229
ColorCat_Buff_Red                   ,    0.1414,    0.404,    0.350, 0.726,   -0.651,    0.934
ColorCat_Buff_Tan                   ,    0.1758,    0.123,    1.435, 0.151,   -0.064,    0.416
ColorCat_Buff_White                 ,    0.1246,    0.063,    1.975, 0.048,    0.001,    0.248
ColorCat_Buff_Yellow                ,   -0.0652,    0.286,   -0.228, 0.820,   -0.626,    0.495
ColorCat_Calico                     ,    0.0087,    0.024,    0.364, 0.716,   -0.038,    0.055
ColorCat_Calico_Point               ,   -0.0484,    0.082,   -0.588, 0.556,   -0.210,    0.113
ColorCat_Calico_Point_White         ,    0.6002,    0.286,    2.099, 0.036,    0.040,    1.161
ColorCat_Calico_Black               ,   -0.0149,    0.286,   -0.052, 0.959,   -0.576,    0.546
ColorCat_Calico_Blue_Cream          ,    0.2152,    0.404,    0.533, 0.594,   -0.577,    1.007
